time [s] 	 stored energy [J]
0.78500 -0.01751
0.78501 -0.02338
0.78502 -0.02921
0.78503 -0.03501
0.78504 -0.04077
0.78504 -0.04651
0.78505 -0.05220
0.78506 -0.05786
0.78507 -0.06347
0.78508 -0.06904
0.78508 -0.07457
0.78509 -0.08007
0.78510 -0.08553
0.78511 -0.09094
0.78512 -0.09632
0.78512 -0.10165
0.78513 -0.10695
0.78514 -0.11219
0.78515 -0.11740
0.78516 -0.12255
0.78516 -0.12766
0.78517 -0.13271
0.78518 -0.13771
0.78519 -0.14267
0.78520 -0.14757
0.78520 -0.15243
0.78521 -0.15725
0.78522 -0.16202
0.78523 -0.16674
0.78524 -0.17142
0.78524 -0.17607
0.78525 -0.18069
0.78526 -0.18526
0.78527 -0.18981
0.78528 -0.19431
0.78528 -0.19878
0.78529 -0.20322
0.78530 -0.20763
0.78531 -0.21200
0.78532 -0.21635
0.78532 -0.22067
0.78533 -0.22497
0.78534 -0.22924
0.78535 -0.23348
0.78536 -0.23770
0.78536 -0.24189
0.78537 -0.24605
0.78538 -0.25017
0.78539 -0.25426
0.78540 -0.25831
0.78540 -0.26232
0.78541 -0.26630
0.78542 -0.27023
0.78543 -0.27412
0.78544 -0.27797
0.78544 -0.28177
0.78545 -0.28553
0.78546 -0.28926
0.78547 -0.29295
0.78548 -0.29659
0.78548 -0.30018
0.78549 -0.30372
0.78550 -0.30721
0.78551 -0.31065
0.78552 -0.31404
0.78552 -0.31737
0.78553 -0.32065
0.78554 -0.32387
0.78555 -0.32703
0.78556 -0.33013
0.78556 -0.33318
0.78557 -0.33617
0.78558 -0.33910
0.78559 -0.34198
0.78560 -0.34479
0.78560 -0.34755
0.78561 -0.35025
0.78562 -0.35290
0.78563 -0.35548
0.78564 -0.35802
0.78564 -0.36049
0.78565 -0.36292
0.78566 -0.36528
0.78567 -0.36759
0.78568 -0.36985
0.78568 -0.37204
0.78569 -0.37417
0.78570 -0.37624
0.78571 -0.37825
0.78572 -0.38019
0.78572 -0.38207
0.78573 -0.38388
0.78574 -0.38561
0.78575 -0.38727
0.78576 -0.38885
0.78576 -0.39036
0.78577 -0.39179
0.78578 -0.39315
0.78579 -0.39443
0.78580 -0.39564
0.78580 -0.39677
0.78581 -0.39783
0.78582 -0.39881
0.78583 -0.39970
0.78584 -0.40051
0.78584 -0.40124
0.78585 -0.40189
0.78586 -0.40245
0.78587 -0.40293
0.78588 -0.40333
0.78588 -0.40365
0.78589 -0.40388
0.78590 -0.40404
0.78591 -0.40410
0.78592 -0.40409
0.78592 -0.40399
0.78593 -0.40382
0.78594 -0.40356
0.78595 -0.40322
0.78596 -0.40279
0.78596 -0.40226
0.78597 -0.40166
0.78598 -0.40096
0.78599 -0.40019
0.78600 -0.39933
0.78600 -0.39840
0.78601 -0.39738
0.78602 -0.39628
0.78603 -0.39509
0.78604 -0.39382
0.78604 -0.39248
0.78605 -0.39105
0.78606 -0.38954
0.78607 -0.38795
0.78608 -0.38628
0.78608 -0.38452
0.78609 -0.38268
0.78610 -0.38076
0.78611 -0.37876
0.78612 -0.37667
0.78612 -0.37450
0.78613 -0.37225
0.78614 -0.36991
0.78615 -0.36748
0.78616 -0.36496
0.78616 -0.36235
0.78617 -0.35966
0.78618 -0.35689
0.78619 -0.35403
0.78620 -0.35109
0.78620 -0.34807
0.78621 -0.34497
0.78622 -0.34178
0.78623 -0.33853
0.78624 -0.33519
0.78624 -0.33179
0.78625 -0.32830
0.78626 -0.32475
0.78627 -0.32113
0.78628 -0.31744
0.78628 -0.31368
0.78629 -0.30986
0.78630 -0.30596
0.78631 -0.30198
0.78632 -0.29794
0.78632 -0.29383
0.78633 -0.28965
0.78634 -0.28540
0.78635 -0.28108
0.78636 -0.27670
0.78636 -0.27225
0.78637 -0.26773
0.78638 -0.26315
0.78639 -0.25850
0.78640 -0.25380
0.78640 -0.24905
0.78641 -0.24423
0.78642 -0.23936
0.78643 -0.23442
0.78644 -0.22943
0.78644 -0.22439
0.78645 -0.21929
0.78646 -0.21415
0.78647 -0.20896
0.78648 -0.20373
0.78648 -0.19844
0.78649 -0.19311
0.78650 -0.18773
0.78651 -0.18230
0.78652 -0.17683
0.78652 -0.17133
0.78653 -0.16578
0.78654 -0.16021
0.78655 -0.15460
0.78656 -0.14895
0.78656 -0.14328
0.78657 -0.13757
0.78658 -0.13184
0.78659 -0.12609
0.78660 -0.12032
0.78660 -0.11453
0.78661 -0.10872
0.78662 -0.10289
0.78663 -0.09704
0.78664 -0.09118
0.78664 -0.08531
0.78665 -0.07943
0.78666 -0.07354
0.78667 -0.06764
0.78668 -0.06174
0.78668 -0.05583
0.78669 -0.04991
0.78670 -0.04399
0.78671 -0.03806
0.78672 -0.03214
0.78672 -0.02621
0.78673 -0.02027
0.78674 -0.01433
