fixed_archive_path,uncompressed_bytes,sha256
P/01/.claude/agents/rsi-editor.md,1264,63f554b29e7516e5cbc0bcb8ad339e39cd3ec6deaaa688d59245ae4d117d12e4
P/01/.claude/commands/deep.md,998,c48450b44bc16bc096b7e4c8c8e2fa9d9bec581aebd9fb890bdfd1876abd1106
P/01/.claude/commands/log.md,823,d2a45e2f9abb18c8b754fa55b0093788db5d6b0ab8eb8412bd3178f475842a3d
P/01/.claude/commands/specs.md,501,f04fae0c5718704c3b19162be1afd92cd5e1ffbece5bbdab671c7a952fb1fbf4
P/01/.claude/settings.json,157,9c1060d6df2e51f7457e6c74d826b5e48d42c564fc342093c69b85fb10def8e3
P/01/01_Folder_Info.md,1582,ec5e138997b5d7d3f826f8f26100e677e1d5d2aac035e24241a5da3ca3b8c332
P/01/01_Publications/in_preparation/vangorp_dawes_zhao_senesky_radiation_TCAD_sensitivity_modeling_DRAFT.pdf,728117,e4d4817317f4f8477aaa4d382f9d3510f9707d9a60fe179d4a71dec54aec0d18
P/01/01_Publications/submitted/regular_lsens/IEEE_lsens.cls,214510,660780da28746f682d13b662ae64bf2d61ff2f71b14c85ec7515539593cca53a
P/01/01_Publications/submitted/regular_lsens/figures/fig1.pdf,645177,153af3a145cf0f32bdef9d51d59588d14b403b234afe70a043e88ce324ca5622
P/01/01_Publications/submitted/regular_lsens/figures/fig2.pdf,369893,4453e448fe17f89f21f001dd83127f4f2b8982b52d51ee9d5f26562f8e859a36
P/01/01_Publications/submitted/regular_lsens/figures/fig3.pdf,143244,08ddb240577bfadfde91e41fc5a05e1ebc2b85ebf3d8ac7519b39aec043161ba
P/01/01_Publications/submitted/regular_lsens/figures/fig4-eps-converted-to.pdf,27367,4c0c62ee44db54b359c5de33e454c6e60d9530f00899c63fdb5d326829150296
P/01/01_Publications/submitted/regular_lsens/figures/fig4.eps,70084,eed5d8418eb2c8370c6f725c26fac7861665868e795213d7e1cb18c7994be109
P/01/01_Publications/submitted/regular_lsens/figures/fig4.pdf,26995,2fdee3ffcbde3ad4176e9cd9457d3d28410fea7ca7b1ad2e5759fa71f6a33c37
P/01/01_Publications/submitted/regular_lsens/figures/fig5-eps-converted-to.pdf,149754,b22efa58510762eeecf8528a8d80e4aab09ec31291845f158e20103092763a33
P/01/01_Publications/submitted/regular_lsens/figures/fig5.eps,471770,1058cfe0d1749e48dda74da366702d832cf0625ae5e9e42ea80034272318b3c0
P/01/01_Publications/submitted/regular_lsens/graphical_abstract.pdf,374411,1c8e537f5d2b14cfd13bce8eea815f256aa2e4e41a1cabe6aebcfce597ae34e7
P/01/01_Publications/submitted/regular_lsens/regular_lsens.aux,4320,acdd684fb423661d786f9cea7b65a0851c1a951c21d15ece0becaafab195bd49
P/01/01_Publications/submitted/regular_lsens/regular_lsens.log,45928,37499341d32ea84948f718ddb7c8d859656930633a814f3e05c4c09377e96d89
P/01/01_Publications/submitted/regular_lsens/regular_lsens.pdf,1838044,e7a990d8215ab88dcd6801b782b6592f76b8cd1a92f28dc982644cab9311d716
P/01/01_Publications/submitted/regular_lsens/regular_lsens.synctex.gz,57198,eadff2cf9234d7248b36c331e0e5811b00b7dde4e49aca7110304a3acbdbf2d1
P/01/01_Publications/submitted/regular_lsens/regular_lsens.tex,43929,fc34b033802de487bfdd39e9dc4eeb568fc3d4854b6734d196975ef9701c509e
P/01/01_Publications/tim_ieee_sensors_letters_GaN_Hall_sensor_in_HSX_2023.pdf,1838044,e7a990d8215ab88dcd6801b782b6592f76b8cd1a92f28dc982644cab9311d716
P/01/02_HSX_Hall_Sensor_Readout/.claude/settings.json,129,cea538079793f930afbc0bf3bfa9180b0943f9e73c0415c049b65662c4e491e1
P/01/02_HSX_Hall_Sensor_Readout/CLAUDE.md,3433,2e825faea5d1f08f3f78d3b2f1d4c1071fe9677b541d6067e462ef48708187b9
P/01/02_HSX_Hall_Sensor_Readout/NOTES.md,6902,384c89708ca7b2edc52fece63b273aa2709e681feed6dc43516e0079ee57696a
P/01/02_HSX_Hall_Sensor_Readout/analysis/figures/2026-07-08_spin_verify.png,204120,e0b4eb5930aa4f70950020ccfc3083b16d6e371918e171cc1b6d166173e3e7b8
P/01/02_HSX_Hall_Sensor_Readout/analysis/hsx_demod_scope_csv.py,6472,b1bc4b321c6cbf384199a672c7a0383c3946aa8cf41893112241510574ac6199
P/01/02_HSX_Hall_Sensor_Readout/analysis/spin_verify_nosync.py,5831,468ed1afdf7a8f363f31e6a805c5b1caa0ac9c6e619b2e05f43713bb8ed3e412
P/01/02_HSX_Hall_Sensor_Readout/circuit/hall_sensor_measurement_system_v1.net,2077,5e7fbdbb4254023994e18bb49211055b5908dd81de3b4843639b7878ab2924c5
P/01/02_HSX_Hall_Sensor_Readout/circuit/hsx_2026_v1.net,56297,2a31a12b7edd643e974160b9b0b13383a214e0c62ff1bdece872982a21d6ead4
P/01/02_HSX_Hall_Sensor_Readout/circuit/hsx_setup_v1_Y23.zip,1888459,36a3e9db236b5b2c1947abd57cd76a40dcafb1c3795095e1d5e4b2e8a59ff5aa
P/01/02_HSX_Hall_Sensor_Readout/circuit/kicad_01.pdf,36986,e86e720c4a09f3f8c77e02d43bc7a8031e9d8c4669a6a2246422cc8ff98cac9e
P/01/02_HSX_Hall_Sensor_Readout/circuit/ltspice_1.pdf,197847,b0e9a416d9437a296d26d1e9baf48f35a4bf87de42d6e682cfc594554609410b
P/01/02_HSX_Hall_Sensor_Readout/data/2026-07-08_test_spin.csv,74539,2c42f51809e70e82580779d0982f4e2c221fd3e726d0ae7f85ff86a01be433d4
P/01/02_HSX_Hall_Sensor_Readout/docs/SPECS.md,6462,b7a6cc564cfde22fa38c14ff2d6a9298260da8e9a2956cb4ffc0d97f3febd8ee
P/01/02_HSX_Hall_Sensor_Readout/docs/hsx_readout_bringup_and_calibration_plan.html,41937,126bffb1cbbab97e80b6391dca07e84703a459ba3abc20fccc3cf9ba0994dd78
P/01/02_HSX_Hall_Sensor_Readout/docs/hsx_readout_bringup_and_calibration_plan.md,27919,7d833c51e7f0f0534e4127a17b17aeaade6e16e5a656cc04889d9afdb5ebd14a
P/01/02_HSX_Hall_Sensor_Readout/docs/second_test_setup_static_bias.html,15265,1db1e2a30bf4cf3c9b21a6e4258b6a84a658c16fade737dd2f40c43bfd00816c
P/01/02_HSX_Hall_Sensor_Readout/docs/second_test_setup_static_bias.md,7431,e46fe5a63ef69cedd8771454e8becafcb7215b4613cffa4f89ad1477e207be5e
P/01/02_HSX_Hall_Sensor_Readout/firmware/pico2/README.md,9252,d91a8b493480d7dc8325c1a11c785988b662f7a8ec8f4304831b37c445942ed1
P/01/02_HSX_Hall_Sensor_Readout/firmware/pico2/main.py,20669,17d1b5637711e280f80a68697f8b65743332e30db22b13228d5b4f18c0adfb55
P/01/02_HSX_Hall_Sensor_Readout/firmware/pico2/pico2_hsx_phase_clock.py,9592,7c545fd9411450a9508e0d7ec5877a4ceaef3703f050f0e6b5d355de227cc0b4
P/01/02_HSX_Hall_Sensor_Readout/firmware/pico2/pico2_spin_scope.py,14584,9a03813b510b26895b7e9a820e59b9fd3ad365f5c52b6e277f249b6f1a271c0e
P/01/02_HSX_Hall_Sensor_Readout/firmware/pico2/pico2_static_bias_p2p4.py,16190,7e28bbd24947c6643109ccc1eb8b12555b4e4e23af126c1e0d8291864d122dd6
P/01/02_HSX_Hall_Sensor_Readout/journal/2026-07-08_spinning_emulator_20mA.html,16775,a1198376e5d92f28b5c8e62fe6640ab28e50a13307ab56b6ecf81dfa78d11318
P/01/02_HSX_Hall_Sensor_Readout/journal/2026-07-08_spinning_emulator_20mA.md,8312,aeaa4b80de5659816a69358d03ee78504ebd1104b4595ab4e1f050ef50899f42
P/01/03_HSX_Vector_Probe_RSI2026/.claude/settings.json,129,cea538079793f930afbc0bf3bfa9180b0943f9e73c0415c049b65662c4e491e1
P/01/03_HSX_Vector_Probe_RSI2026/CLAUDE.md,2565,6f442191f9f4d41abc626e6e7736bfbb982f229c4cb8b55d159b38333b32cd15
P/01/03_HSX_Vector_Probe_RSI2026/NOTES.md,1983,a1975cbf22b4e78626f164ce878a7bee01430890d29d279369655b56987ba5c4
P/01/03_HSX_Vector_Probe_RSI2026/docs/rsi_experiment_and_publication_plan.html,29449,b42bdddcf553bc537709e5d98a88d24c045fa4b5c8ce6847c7f03e4f7d74edf9
P/01/03_HSX_Vector_Probe_RSI2026/docs/rsi_experiment_and_publication_plan.md,18591,00d89b5977bd64f1a3ba709c528b4d72e9b4e2806d2e2d69d9e403c4bdcb9108
P/01/04_Magnetic_Sensor_Review_Sensors2026/.state/.gitkeep,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
P/01/04_Magnetic_Sensor_Review_Sensors2026/.state/00_target_journal_brief.done,74,5d13441fda9ce44e754fb0b39bfebbee5bb4b0f0138f7ad64652c46905c55018
P/01/04_Magnetic_Sensor_Review_Sensors2026/.state/10_titles.done,81,909476a4897340d7041434b793dce9129605116fcb37e5150b11e4e1050411e8
P/01/04_Magnetic_Sensor_Review_Sensors2026/.state/20_outlines.done,82,7476ec49f81b128d400cb8e11f86d01dcfa60d332c43aa43ac0a350b4ed66dfd
P/01/04_Magnetic_Sensor_Review_Sensors2026/.state/30_litreview_sensor_types.done,82,cd0056d8c0e359335d97d80cddf46440a4c559b1c1cedc072927ec8797f298a8
P/01/04_Magnetic_Sensor_Review_Sensors2026/.state/40_litreview_applications.done,72,0d7468560f4acc9816d61d8c3b581cdd934c82946262d8211f0350f53bd61b75
P/01/04_Magnetic_Sensor_Review_Sensors2026/.state/50_litreview_future_methods.done,80,692a49df2b6a8ae67a4c19475bb5f5bb53308d97a8d8513ddbb15d5185238d38
P/01/04_Magnetic_Sensor_Review_Sensors2026/.state/60_standards_and_business.done,73,7f4a69dfccd937fd1ab1647e07c9b26ad159cc5fb0f29f78a720412c11e06f8b
P/01/04_Magnetic_Sensor_Review_Sensors2026/.state/70_bibliography.done,78,6c9bfac2d8175391b5e07be0500a7da13cf1fca89c429f0b35f4e52f5ff15c3a
P/01/04_Magnetic_Sensor_Review_Sensors2026/.state/80_assemble_deliverable.done,82,55d3cff21968d92203ccd1c93ab0f9ccc79ba8d574ec5e1e5c1170f5128c4238
P/01/04_Magnetic_Sensor_Review_Sensors2026/.state/90_patch_notes.done,72,fcab7d7dbbd681c6e492fdbb882213d1e606e5e72c7045f942c54de5ef67aeb3
P/01/04_Magnetic_Sensor_Review_Sensors2026/CLAUDE.md,3396,2346a3af6c239742335fe6d2721a21a611fa7c6c970ab9662a8f5f06aa43c900
P/01/04_Magnetic_Sensor_Review_Sensors2026/NOTES.md,2470,6d41279a2d75cff36ac5bc000ba716a3c5d2740111eb5cbb03d466d431dbcae7
P/01/04_Magnetic_Sensor_Review_Sensors2026/README_SETUP.md,8401,1a0fe6d99da10e86f453af3ab59d5a080319d324526c9c40119bee189774d809
P/01/04_Magnetic_Sensor_Review_Sensors2026/docs/PROJECT_BRIEF.md,7378,722ebc6a824d00d6e8bfa412fed3d57043dcaae2a4f20515175f4d2949c3e883
P/01/04_Magnetic_Sensor_Review_Sensors2026/logs/.gitkeep,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
P/01/04_Magnetic_Sensor_Review_Sensors2026/logs/run_2026-07-10_025419/00_target_journal_brief.err.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
P/01/04_Magnetic_Sensor_Review_Sensors2026/logs/run_2026-07-10_025419/00_target_journal_brief.json,1661,440314d06276f540f6640fda6a329a1d02601e110a26709a180e0aacc9bb659f
P/01/04_Magnetic_Sensor_Review_Sensors2026/logs/run_2026-07-10_025419/00_target_journal_brief.result.md,194,7213470c7f0083a5ac5ee5237b28b6420c6bb1b95a179f86aeddb5a0b964efee
P/01/04_Magnetic_Sensor_Review_Sensors2026/logs/run_2026-07-10_025419/10_titles.err.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
P/01/04_Magnetic_Sensor_Review_Sensors2026/logs/run_2026-07-10_025419/10_titles.json,1571,084739cfad94ccd877af59db1078c5964f4b4ebf42922d289135d7e36a2d1f43
P/01/04_Magnetic_Sensor_Review_Sensors2026/logs/run_2026-07-10_025419/10_titles.result.md,109,40a2d597bdfd630e7bb7efca9b7d6a2baac8724de34dc0a9082dd691d4e393ae
