"timestamp","stage","route","attempt","requested_model","requested_effort","reported_models","status","session_id","seconds","validation","notes"
"2026-07-27T00:53:27.0604359-07:00","claude_sonnet_connection_test","claude_code_powershell","1","sonnet","low","claude-sonnet-5","connected","","5.6","CLAUDE_SONNET_OK","init_model=claude-sonnet-5;timed_out=False;policy_scope=fable_final_result_only"
"2026-07-27T00:53:32.2121561-07:00","claude_fable_connection_test","claude_code_powershell","1","fable","low","claude-fable-5","connected","","5.1","CLAUDE_FABLE_OK","init_model=claude-fable-5;timed_out=False;policy_scope=fable_final_result_only"
"2026-07-27T01:03:44.1907770-07:00","00_inventory","claude_code_powershell","1","sonnet","high","claude-sonnet-5","ok","ca57ae7b-2dfe-4b30-88a1-e0db8152b0a1","608.8","not_yet_run",";retry_cycle=0;cycle_attempt=1;primary_models=claude-sonnet-5;transient_primary_models=;auxiliary_models=;result_model=claude-sonnet-5;policy_scope=fable_final_result_only;security_fallback_flag=False"
"2026-07-27T01:31:35.2340283-07:00","10a_literature_hybrid","claude_code_powershell","1","sonnet","xhigh","claude-sonnet-5;claude-haiku-4-5-20251001","ok","72ceff64-fdee-4913-8bf2-04649322b30d","1669.8","not_yet_run",";retry_cycle=0;cycle_attempt=1;primary_models=claude-sonnet-5;transient_primary_models=;auxiliary_models=claude-haiku-4-5-20251001;result_model=claude-sonnet-5;policy_scope=fable_final_result_only;security_fallback_flag=False"
"2026-07-27T02:19:02.5875685-07:00","10b_literature_radiation","claude_code_powershell","1","sonnet","xhigh","claude-sonnet-5;claude-haiku-4-5-20251001","ok","9356243c-2de3-4f4a-9513-87e214e1e384","2845.8","not_yet_run",";retry_cycle=0;cycle_attempt=1;primary_models=claude-sonnet-5;transient_primary_models=;auxiliary_models=claude-haiku-4-5-20251001;result_model=claude-sonnet-5;policy_scope=fable_final_result_only;security_fallback_flag=False"
"2026-07-27T02:40:10.3027579-07:00","10c_literature_applications","claude_code_powershell","1","sonnet","high","claude-sonnet-5;claude-haiku-4-5-20251001","ok","38f893df-5c38-4c64-afff-c0344432ad11","1266.8","not_yet_run",";retry_cycle=0;cycle_attempt=1;primary_models=claude-sonnet-5;transient_primary_models=;auxiliary_models=claude-haiku-4-5-20251001;result_model=claude-sonnet-5;policy_scope=fable_final_result_only;security_fallback_flag=False"
"2026-07-27T03:00:19.9527481-07:00","10d_evidence_merge","claude_code_powershell","1","fable","xhigh","claude-fable-5","ok","0f083f68-752e-472a-9e6d-320e5f0e993c","1209.3","not_yet_run",";retry_cycle=0;cycle_attempt=1;primary_models=claude-fable-5;transient_primary_models=;auxiliary_models=;result_model=claude-fable-5;policy_scope=fable_final_result_only;security_fallback_flag=False"
"2026-07-27T03:20:27.7051728-07:00","20_observability","claude_code_powershell","1","fable","xhigh","claude-fable-5","ok","e9602ddc-6ad7-456d-941d-06f070b6e6fc","1207.2","not_yet_run",";retry_cycle=0;cycle_attempt=1;primary_models=claude-fable-5;transient_primary_models=;auxiliary_models=;result_model=claude-fable-5;policy_scope=fable_final_result_only;security_fallback_flag=False"
"2026-07-27T03:37:16.1632623-07:00","30_radiation_compensation","claude_code_powershell","1","fable","xhigh","claude-fable-5","ok","e00f6264-e4cc-4f27-ab33-6a4a28ce509e","1008.2","not_yet_run",";retry_cycle=0;cycle_attempt=1;primary_models=claude-fable-5;transient_primary_models=;auxiliary_models=;result_model=claude-fable-5;policy_scope=fable_final_result_only;security_fallback_flag=False"
"2026-07-27T03:55:24.8935045-07:00","40_applications_collaboration","claude_code_powershell","1","sonnet","xhigh","claude-sonnet-5;claude-haiku-4-5-20251001","ok","b5b893b3-20cd-4312-87d3-8f49bfe05548","1088.2","not_yet_run",";retry_cycle=0;cycle_attempt=1;primary_models=claude-sonnet-5;transient_primary_models=;auxiliary_models=claude-haiku-4-5-20251001;result_model=claude-sonnet-5;policy_scope=fable_final_result_only;security_fallback_flag=False"
"2026-07-27T04:12:38.9717962-07:00","50_limitations_comparison","claude_code_powershell","1","fable","xhigh","claude-fable-5","ok","fcab50e1-e226-41a4-ad16-5523e29b0972","1033.7","not_yet_run",";retry_cycle=0;cycle_attempt=1;primary_models=claude-fable-5;transient_primary_models=;auxiliary_models=;result_model=claude-fable-5;policy_scope=fable_final_result_only;security_fallback_flag=False"
"2026-07-27T04:25:59.0026158-07:00","60_research_program","claude_code_powershell","1","fable","xhigh","claude-fable-5","ok","c4160d50-5754-4d21-8ba9-640474d4b2f6","799.7","not_yet_run",";retry_cycle=0;cycle_attempt=1;primary_models=claude-fable-5;transient_primary_models=;auxiliary_models=;result_model=claude-fable-5;policy_scope=fable_final_result_only;security_fallback_flag=False"
"2026-07-27T04:50:18.5720858-07:00","70_redteam","claude_code_powershell","1","fable","xhigh","claude-fable-5;<synthetic>;claude-haiku-4-5-20251001","runtime_failure","55b0413c-d912-4678-84c1-2a1fe46de6d2","1459","not_yet_run",";retry_cycle=0;cycle_attempt=1;primary_models=claude-fable-5;<synthetic>;transient_primary_models=claude-fable-5;auxiliary_models=claude-haiku-4-5-20251001;result_model=<synthetic>;policy_scope=fable_final_result_only;security_fallback_flag=False"
