"timestamp","stage","route","attempt","session_id","stream_file","status"
"2026-07-27T01:03:44.1744482-07:00","00_inventory","claude_code_powershell","1","ca57ae7b-2dfe-4b30-88a1-e0db8152b0a1","D:\timzhao\Downloads\P_FIXED\P\01\08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07\logs\run_2026-07-27_005332_821\00_inventory\cycle_0_attempt_1_new\stream.jsonl","ok"
"2026-07-27T01:31:35.2317237-07:00","10a_literature_hybrid","claude_code_powershell","1","72ceff64-fdee-4913-8bf2-04649322b30d","D:\timzhao\Downloads\P_FIXED\P\01\08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07\logs\run_2026-07-27_005332_821\10a_literature_hybrid\cycle_0_attempt_1_new\stream.jsonl","ok"
"2026-07-27T02:19:02.5853639-07:00","10b_literature_radiation","claude_code_powershell","1","9356243c-2de3-4f4a-9513-87e214e1e384","D:\timzhao\Downloads\P_FIXED\P\01\08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07\logs\run_2026-07-27_005332_821\10b_literature_radiation\cycle_0_attempt_1_new\stream.jsonl","ok"
"2026-07-27T02:40:10.3027579-07:00","10c_literature_applications","claude_code_powershell","1","38f893df-5c38-4c64-afff-c0344432ad11","D:\timzhao\Downloads\P_FIXED\P\01\08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07\logs\run_2026-07-27_005332_821\10c_literature_applications\cycle_0_attempt_1_new\stream.jsonl","ok"
"2026-07-27T03:00:19.9527481-07:00","10d_evidence_merge","claude_code_powershell","1","0f083f68-752e-472a-9e6d-320e5f0e993c","D:\timzhao\Downloads\P_FIXED\P\01\08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07\logs\run_2026-07-27_005332_821\10d_evidence_merge\cycle_0_attempt_1_new\stream.jsonl","ok"
"2026-07-27T03:20:27.7051728-07:00","20_observability","claude_code_powershell","1","e9602ddc-6ad7-456d-941d-06f070b6e6fc","D:\timzhao\Downloads\P_FIXED\P\01\08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07\logs\run_2026-07-27_005332_821\20_observability\cycle_0_attempt_1_new\stream.jsonl","ok"
"2026-07-27T03:37:16.1622628-07:00","30_radiation_compensation","claude_code_powershell","1","e00f6264-e4cc-4f27-ab33-6a4a28ce509e","D:\timzhao\Downloads\P_FIXED\P\01\08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07\logs\run_2026-07-27_005332_821\30_radiation_compensation\cycle_0_attempt_1_new\stream.jsonl","ok"
"2026-07-27T03:55:24.8935045-07:00","40_applications_collaboration","claude_code_powershell","1","b5b893b3-20cd-4312-87d3-8f49bfe05548","D:\timzhao\Downloads\P_FIXED\P\01\08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07\logs\run_2026-07-27_005332_821\40_applications_collaboration\cycle_0_attempt_1_new\stream.jsonl","ok"
"2026-07-27T04:12:38.9694890-07:00","50_limitations_comparison","claude_code_powershell","1","fcab50e1-e226-41a4-ad16-5523e29b0972","D:\timzhao\Downloads\P_FIXED\P\01\08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07\logs\run_2026-07-27_005332_821\50_limitations_comparison\cycle_0_attempt_1_new\stream.jsonl","ok"
"2026-07-27T04:25:59.0026158-07:00","60_research_program","claude_code_powershell","1","c4160d50-5754-4d21-8ba9-640474d4b2f6","D:\timzhao\Downloads\P_FIXED\P\01\08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07\logs\run_2026-07-27_005332_821\60_research_program\cycle_0_attempt_1_new\stream.jsonl","ok"
"2026-07-27T04:50:18.5720858-07:00","70_redteam","claude_code_powershell","1","55b0413c-d912-4678-84c1-2a1fe46de6d2","D:\timzhao\Downloads\P_FIXED\P\01\08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07\logs\run_2026-07-27_005332_821\70_redteam\cycle_0_attempt_1_new\stream.jsonl","runtime_failure"
